time, x, d
0, 0, 0
0.010000, 0, -0.098800
0.020000, -0.000988, -0.188827
0.030000, -0.002876, -0.270469
0.040000, -0.005581, -0.344116
0.050000, -0.009022, -0.410156
0.060000, -0.013124, -0.468973
0.070000, -0.017813, -0.520948
0.080000, -0.023023, -0.566457
0.090000, -0.028687, -0.605868
0.100000, -0.034746, -0.639544
0.110000, -0.041142, -0.667839
0.120000, -0.047820, -0.691096
0.130000, -0.054731, -0.709652
0.140000, -0.061827, -0.723833
0.150000, -0.069066, -0.733953
0.160000, -0.076405, -0.740318
0.170000, -0.083808, -0.743220
0.180000, -0.091241, -0.742943
0.190000, -0.098670, -0.739757
0.200000, -0.106068, -0.733922
0.210000, -0.113407, -0.725684
0.220000, -0.120664, -0.715282
0.230000, -0.127817, -0.702939
0.240000, -0.134846, -0.688869
0.250000, -0.141735, -0.673274
0.260000, -0.148467, -0.656344
0.270000, -0.155031, -0.638261
0.280000, -0.161413, -0.619193
0.290000, -0.167605, -0.599298
0.300000, -0.173598, -0.578727
0.310000, -0.179386, -0.557617
0.320000, -0.184962, -0.536097
0.330000, -0.190323, -0.514287
0.340000, -0.195466, -0.492298
0.350000, -0.200389, -0.470232
0.360000, -0.205091, -0.448182
0.370000, -0.209573, -0.426234
0.380000, -0.213835, -0.404466
0.390000, -0.217880, -0.382949
0.400000, -0.221709, -0.361746
0.410000, -0.225327, -0.340914
0.420000, -0.228736, -0.320504
0.430000, -0.231941, -0.300562
0.440000, -0.234946, -0.281125
0.450000, -0.237758, -0.262227
0.460000, -0.240380, -0.243899
0.470000, -0.242819, -0.226162
0.480000, -0.245081, -0.209039
0.490000, -0.247171, -0.192543
0.500000, -0.249096, -0.176687
0.510000, -0.250863, -0.161478
0.520000, -0.252478, -0.146923
0.530000, -0.253947, -0.133024
0.540000, -0.255278, -0.119778
0.550000, -0.256475, -0.107184
0.560000, -0.257547, -0.095235
0.570000, -0.258499, -0.083924
0.580000, -0.259339, -0.073242
0.590000, -0.260071, -0.063177
0.600000, -0.260703, -0.053717
0.610000, -0.261240, -0.044847
0.620000, -0.261689, -0.036554
0.630000, -0.262054, -0.028819
0.640000, -0.262342, -0.021627
0.650000, -0.262559, -0.014960
0.660000, -0.262708, -0.008800
0.670000, -0.262796, -0.003128
0.680000, -0.262827, 0.002076
0.690000, -0.262807, 0.006829
0.700000, -0.262738, 0.011153
0.710000, -0.262627, 0.015065
0.720000, -0.262476, 0.018586
0.730000, -0.262290, 0.021735
0.740000, -0.262073, 0.024531
0.750000, -0.261828, 0.026993
0.760000, -0.261558, 0.029139
0.770000, -0.261266, 0.030989
0.780000, -0.260956, 0.032559
0.790000, -0.260631, 0.033867
0.800000, -0.260292, 0.034931
0.810000, -0.259943, 0.035766
0.820000, -0.259585, 0.036390
0.830000, -0.259221, 0.036816
0.840000, -0.258853, 0.037062
0.850000, -0.258483, 0.037140
0.860000, -0.258111, 0.037065
0.870000, -0.257741, 0.036850
0.880000, -0.257372, 0.036508
0.890000, -0.257007, 0.036051
0.900000, -0.256646, 0.035490
0.910000, -0.256292, 0.034837
0.920000, -0.255943, 0.034102
0.930000, -0.255602, 0.033294
0.940000, -0.255269, 0.032424
0.950000, -0.254945, 0.031499
0.960000, -0.254630, 0.030529
0.970000, -0.254325, 0.029521
0.980000, -0.254029, 0.028481
0.990000, -0.253745, 0.027417
1, -0.253470, 0.026336
1.010000, -0.253207, 0.025242
1.020000, -0.252955, 0.024141
1.030000, -0.252713, 0.023039
1.040000, -0.252483, 0.021939
1.050000, -0.252264, 0.020846
1.060000, -0.252055, 0.019763
1.070000, -0.251857, 0.018694
1.080000, -0.251670, 0.017642
1.090000, -0.251494, 0.016610
1.100000, -0.251328, 0.015600
1.110000, -0.251172, 0.014614
1.120000, -0.251026, 0.013653
1.130000, -0.250889, 0.012721
1.140000, -0.250762, 0.011817
1.150000, -0.250644, 0.010944
1.160000, -0.250534, 0.010101
1.170000, -0.250433, 0.009290
1.180000, -0.250341, 0.008511
1.190000, -0.250255, 0.007765
1.200000, -0.250178, 0.007051
1.210000, -0.250107, 0.006370
1.220000, -0.250044, 0.005722
1.230000, -0.249986, 0.005106
1.240000, -0.249935, 0.004522
1.250000, -0.249890, 0.003970
1.260000, -0.249850, 0.003449
1.270000, -0.249816, 0.002959
1.280000, -0.249786, 0.002498
1.290000, -0.249761, 0.002067
1.300000, -0.249741, 0.001664
1.310000, -0.249724, 0.001289
1.320000, -0.249711, 0.000941
1.330000, -0.249702, 0.000618
1.340000, -0.249696, 0.000321
1.350000, -0.249692, 0.000047
1.360000, -0.249692, -0.000204
1.370000, -0.249694, -0.000432
1.380000, -0.249698, -0.000640
1.390000, -0.249705, -0.000827
1.400000, -0.249713, -0.000995
1.410000, -0.249723, -0.001145
1.420000, -0.249734, -0.001278
1.430000, -0.249747, -0.001394
1.440000, -0.249761, -0.001495
1.450000, -0.249776, -0.001582
1.460000, -0.249792, -0.001655
1.470000, -0.249808, -0.001715
1.480000, -0.249825, -0.001763
1.490000, -0.249843, -0.001801
1.500000, -0.249861, -0.001828
1.510000, -0.249879, -0.001845
1.520000, -0.249898, -0.001854
1.530000, -0.249916, -0.001855
1.540000, -0.249935, -0.001848
1.550000, -0.249953, -0.001835
1.560000, -0.249972, -0.001815
1.570000, -0.249990, -0.001790
1.580000, -0.250008, -0.001760
1.590000, -0.250025, -0.001726
1.600000, -0.250043, -0.001687
1.610000, -0.250060, -0.001646
1.620000, -0.250076, -0.001601
1.630000, -0.250092, -0.001554
1.640000, -0.250108, -0.001505
1.650000, -0.250123, -0.001454
1.660000, -0.250137, -0.001401
1.670000, -0.250151, -0.001348
1.680000, -0.250165, -0.001293
1.690000, -0.250178, -0.001238
1.700000, -0.250190, -0.001183
1.710000, -0.250202, -0.001128
1.720000, -0.250213, -0.001074
1.730000, -0.250224, -0.001019
1.740000, -0.250234, -0.000965
1.750000, -0.250244, -0.000912
1.760000, -0.250253, -0.000860
1.770000, -0.250261, -0.000809
1.780000, -0.250269, -0.000759
1.790000, -0.250277, -0.000710
1.800000, -0.250284, -0.000663
1.810000, -0.250291, -0.000617
1.820000, -0.250297, -0.000572
1.830000, -0.250303, -0.000529
1.840000, -0.250308, -0.000488
1.850000, -0.250313, -0.000448
1.860000, -0.250317, -0.000410
1.870000, -0.250321, -0.000373
1.880000, -0.250325, -0.000338
1.890000, -0.250329, -0.000305
1.900000, -0.250332, -0.000273
1.910000, -0.250334, -0.000243
1.920000, -0.250337, -0.000214
1.930000, -0.250339, -0.000187
1.940000, -0.250341, -0.000162
1.950000, -0.250342, -0.000138
1.960000, -0.250344, -0.000116
1.970000, -0.250345, -0.000095
1.980000, -0.250346, -0.000075
1.990000, -0.250347, -0.000057
2, -0.250347, -0.000040
2.010000, -0.250348, -0.000025
2.020000, -0.250348, -0.000010
2.030000, -0.250348, 0.000003
2.040000, -0.250348, 0.000015
2.050000, -0.250348, 0.000026
2.060000, -0.250347, 0.000036
2.070000, -0.250347, 0.000045
2.080000, -0.250347, 0.000053
2.090000, -0.250346, 0.000060
2.100000, -0.250346, 0.000066
2.110000, -0.250345, 0.000072
2.120000, -0.250344, 0.000077
2.130000, -0.250343, 0.000081
2.140000, -0.250343, 0.000084
2.150000, -0.250342, 0.000087
2.160000, -0.250341, 0.000089
2.170000, -0.250340, 0.000091
2.180000, -0.250339, 0.000092
2.190000, -0.250338, 0.000092
2.200000, -0.250337, 0.000093
2.210000, -0.250336, 0.000093
2.220000, -0.250335, 0.000092
2.230000, -0.250334, 0.000091
2.240000, -0.250334, 0.000090
2.250000, -0.250333, 0.000089
2.260000, -0.250332, 0.000087
2.270000, -0.250331, 0.000085
2.280000, -0.250330, 0.000083
2.290000, -0.250329, 0.000081
2.300000, -0.250328, 0.000079
2.310000, -0.250328, 0.000077
2.320000, -0.250327, 0.000074
2.330000, -0.250326, 0.000072
2.340000, -0.250325, 0.000069
2.350000, -0.250325, 0.000066
2.360000, -0.250324, 0.000063
2.370000, -0.250323, 0.000061
2.380000, -0.250323, 0.000058
2.390000, -0.250322, 0.000055
2.400000, -0.250322, 0.000053
2.410000, -0.250321, 0.000050
2.420000, -0.250321, 0.000047
2.430000, -0.250320, 0.000044
2.440000, -0.250320, 0.000042
2.450000, -0.250319, 0.000039
2.460000, -0.250319, 0.000037
2.470000, -0.250319, 0.000034
2.480000, -0.250318, 0.000032
2.490000, -0.250318, 0.000030
2.500000, -0.250318, 0.000028

