time, x, xd
0, 10, 0
0.010000, 9.999555, -0.098800
0.020000, 9.998123, -0.197600
0.030000, 9.995702, -0.296400
0.040000, 9.992294, -0.395200
0.050000, 9.987897, -0.494000
0.060000, 9.982512, -0.592800
0.070000, 9.976140, -0.691600
0.080000, 9.968779, -0.790400
0.090000, 9.960431, -0.889200
0.100000, 9.951094, -0.988000
0.110000, 9.940769, -1.086800
0.120000, 9.929457, -1.185600
0.130000, 9.917156, -1.284400
0.140000, 9.903868, -1.383200
0.150000, 9.889591, -1.482000
0.160000, 9.874326, -1.580800
0.170000, 9.858074, -1.679600
0.180000, 9.840833, -1.778400
0.190000, 9.822605, -1.877200
0.200000, 9.803388, -1.976000
0.210000, 9.783183, -2.074800
0.220000, 9.761991, -2.173600
0.230000, 9.739810, -2.272400
0.240000, 9.716642, -2.371200
0.250000, 9.692485, -2.470000
0.260000, 9.667340, -2.568800
0.270000, 9.641208, -2.667600
0.280000, 9.614087, -2.766400
0.290000, 9.585979, -2.865200
0.300000, 9.556882, -2.964000
0.310000, 9.526797, -3.062800
0.320000, 9.495725, -3.161600
0.330000, 9.463664, -3.260400
0.340000, 9.430616, -3.359200
0.350000, 9.396579, -3.458000
0.360000, 9.361554, -3.556800
0.370000, 9.325542, -3.655600
0.380000, 9.288541, -3.754400
0.390000, 9.250553, -3.853200
0.400000, 9.211576, -3.952000
0.410000, 9.171611, -4.050800
0.420000, 9.130659, -4.149600
0.430000, 9.088718, -4.248400
0.440000, 9.045790, -4.347200
0.450000, 9.001873, -4.446000
0.460000, 8.956968, -4.544800
0.470000, 8.911076, -4.643600
0.480000, 8.864195, -4.742400
0.490000, 8.816327, -4.841200
0.500000, 8.767470, -4.940000
0.510000, 8.717625, -5.038800
0.520000, 8.666793, -5.137600
0.530000, 8.614972, -5.236400
0.540000, 8.562164, -5.335200
0.550000, 8.508367, -5.434000
0.560000, 8.453582, -5.532800
0.570000, 8.397810, -5.631600
0.580000, 8.341049, -5.730400
0.590000, 8.283301, -5.829200
0.600000, 8.224564, -5.928000
0.610000, 8.164839, -6.026800
0.620000, 8.104127, -6.125600
0.630000, 8.042426, -6.224400
0.640000, 7.979738, -6.323200
